med_dwnom,ldv,mn_partyComp,mood,ptyCompMood,majPercChamber,dem,midterm
-.27900001,,,,,.67333335,0,0
.24600001,-.27900001,.83198708,,,.61056107,1,1
.204,.24600001,.91159797,,,.5215947,1,0
.204,.204,.88311815,,,.4848485,1,1
-.161,.204,.87480068,,,.51505017,0,0
.236,-.161,.9059214,,,.59880239,1,1
.226,.236,.8934738,,,.56,1,0
.17200001,.226,.90664601,,,.51083589,1,1
-.1735,.17200001,.90667349,,,.52034885,0,0
.26999998,-.1735,.92195672,,,.71726191,1,1
.2455,.26999998,.90412462,,,.60704607,1,0
-.368,.2455,.87121612,,,.69916433,0,1
-.32699999,-.368,.84927654,,,.56749314,0,0
-.278,-.32699999,.8573156,,,.53333336,0,1
-.352,-.278,.85970998,,,.5702247,0,0
-.34149998,-.352,.86609447,,,.54076087,0,1
-.391,-.34149998,.85565847,,,.6550802,0,0
-.34850001,-.391,.84936583,,,.57552081,0,1
-.33999997,-.34850001,.87513357,,,.55025125,0,0
.2085,-.33999997,.88021207,,,.57855362,1,1
.23100001,.2085,.86614615,,,.6697039,1,0
.1145,.23100001,.87541634,,,.52283102,1,1
-.014,.1145,.87135077,,,.5,1,0
-.29500002,-.014,.86162311,,,.54910713,0,1
-.35049999,-.29500002,.84572518,,,.6875,0,0
-.17899999,-.35049999,.86270589,,,.51834863,0,1
-.271,-.17899999,.85006499,,,.56581986,0,0
-.215,-.271,.83974707,,,.53882354,0,1
-.27200001,-.215,.8612622,,,.61379308,0,0
-.016000001,-.27200001,.86914545,,,.51141554,1,1
.17550001,-.016000001,.86496979,,,.71783298,1,0
.178,.17550001,.86677611,,,.73744291,1,1
.2,.178,.85661256,,,.76309794,1,0
.106,.2,.86918652,,,.59375,1,1
.117,.106,.87285429,,,.60770977,1,0
-.032499999,.117,.86235631,,,.50678736,1,1
.026000001,-.032499999,.87523824,,,.55855858,1,0
-.121,.026000001,.8771072,,,.56053811,0,1
.091499999,-.121,.87994075,,,.59908885,1,0
-.0080000004,.091499999,.88919789,,,.53153151,1,1
-.075999998,-.0080000004,.88254023,50.739,44.779209,.50458717,0,0
-.048500001,-.075999998,.89725,57.5645,51.649746,.53424656,1,1
-.037,-.048500001,.9021197,62.427,56.316628,.53724605,1,0
.107,-.037,.9010424,60.7115,54.703636,.64236903,1,1
.060000002,.107,.90823722,64.9245,58.966846,.60898876,1,0
.039999999,.060000002,.93809897,68.76000000000001,64.503685,.59049773,1,1
.17649999,.039999999,.93422419,63.9395,59.733826,.67873305,1,0
.036499999,.17649999,.94753653,59.7315,56.597778,.56849313,1,1
.048,.036499999,.94170094,59.7475,56.264278,.5598194,1,0
.106,.048,.93980449,57.4675,54.008213,.58181816,1,1
.077999994,.106,.95374233,63.859,60.905029,.55304742,1,0
.21349999,.077999994,.94895774,58.5105,55.523991,.66514808,1,1
.19400001,.21349999,.91699135,57.333,52.573864,.66438359,1,0
.1725,.19400001,.93104434,55.084,51.285645,.63636363,1,1
.059999999,.1725,.94653422,53.391,50.536407,.55479455,1,0
.146,.059999999,.93364114,53.866,50.291512,.61643833,1,1
.118,.146,.94470823,58.6245,55.383049,.58219177,1,0
.146,.118,.95462066,59.6015,56.896824,.59090906,1,1
.1585,.146,.95044541,63.8395,60.675961,.59410429,1,0
.16350001,.1585,.95893568,65.316,62.633842,.61415523,1,1
.155,.16350001,.95229703,65.45050000000001,62.328316,.59132421,1,0
-.227,.155,.9675988,60.3665,58.410553,.52914798,0,1
-.221,-.227,.96588475,56.543,54.614021,.52144468,0,0
-.22499999,-.221,.95734322,58.985,56.468891,.5090909,0,1
-.21349999,-.22499999,.94739753,60.563,57.377235,.51583713,0,0
-.21799999,-.21349999,.93493176,61.661,57.648827,.52607709,0,1
-.237,-.21799999,.93108988,65.301,60.801102,.53758544,0,0
.132,-.237,.93008965,66.4675,61.820732,.53914988,1,1
.18000001,.132,.92589587,66.673,61.732254,.58876407,1,0
-.28299999,.18000001,.92748022,63.359,58.764221,.54853272,0,1
-.27850002,-.28299999,.92201167,61.8075,56.987236,.53863639,0,0
